WKT,nome,descrição
"POINT (10.016474723815918 45.139652252197266)",Corso Garibaldi, 211,
"POINT (10.017399787902832 45.13801956176758)",Corso Garibaldi, 116,
"POINT (10.017900466918945 45.13798522949219)",Gioielleria Acerbi,
"POINT (10.01728343963623 45.13793182373047)",BRANDO STORE,
"POINT (10.01924991607666 45.13732147216797)",Reveles,
"POINT (10.021410942077637 45.13821029663086)",Via Palestro, 17,
"POINT (10.024456024169922 45.13567352294922)",Piazza Filodrammatici, 6,
"POINT (10.021747589111328 45.13507080078125)",Corso Campi, 28,
"POINT (10.021210670471191 45.13271713256836)",Shopping Club La Perla,
"POINT (10.023488998413086 45.13605499267578)",Piazza Roma, 4,
"POINT (10.024810791015625 45.135643005371094)",Piazza Filodrammatici, 5,
"POINT (10.019075393676758 45.136348724365234)",Via Milazzo, 15,
"POINT (10.02567195892334 45.1375846862793)",Piazza Giovanni XXIII, 4,
"POINT (10.02579402923584 45.13737487792969)",Piazza Giovanni XXIII, 8,
"POINT (10.025888442993164 45.13743209838867)",Piazza Giovanni XXIII, 7,
"POINT (10.026302337646484 45.135589599609375)",Via S. Tomaso, 14,
"POINT (10.02280044555664 45.13508605957031)",La Ciocco,
"POINT (10.010977745056152 45.13666534423828)",Via Angelo Massarotti, 53,
"POINT (10.016127586364746 45.13924789428711)",Accademia Stauffer,
"POINT (10.023355484008789 45.133644104003906)",Piazza Antonio Stradivari, 4,
"POINT (10.02376651763916 45.13365173339844)",Via Giovanni Baldesio, 2,
"POINT (10.024069786071777 45.13360595703125)",Libreria Arte Sacra,
"POINT (10.02411937713623 45.13360595703125)",Libreria Arte Sacra,
"POINT (10.024399757385254 45.13370132446289)",Studio Tecnico Agrario Ferlenghi,
"POINT (10.024389266967773 45.133697509765625)",Studio Tecnico Agrario Ferlenghi,
"POINT (10.024552345275879 45.133670806884766)",Target Turismo,
