WKT,nome,descrizione
"POINT (10.017005920410156 45.13859558105469)",Corso Garibaldi, 136,
"POINT (10.017250061035156 45.13804626464844)",Corso Garibaldi, 122,
"POINT (10.017322540283203 45.13802719116211)",Corso Garibaldi, 116,
"POINT (10.017289161682129 45.1380729675293)",Corso Garibaldi, 122,
"POINT (10.017402648925781 45.13808822631836)",A2A Stazione di Ricarica,
"POINT (10.01823616027832 45.1376953125)",Corso Garibaldi, 86,
"POINT (10.018205642700195 45.137699127197266)",Corso Garibaldi, 86,
"POINT (10.018205642700195 45.137752532958984)",Corso Garibaldi, 97,
"POINT (10.018941879272461 45.13743209838867)",Corso Garibaldi, 69,
"POINT (10.019425392150879 45.137184143066406)",Corso Garibaldi, 50,
"POINT (10.02180004119873 45.13813781738281)",Biblioteca Statale di Cremona,
"POINT (10.022391319274902 45.13829803466797)",Via Ugolani Dati, 13,
"POINT (10.022533416748047 45.13827133178711)",Via Alessandro Manzoni, 18,
"POINT (10.022713661193848 45.13794708251953)",NULL_STUDIO,
"POINT (10.023391723632812 45.13649368286133)",Via Alessandro Manzoni, 5,
"POINT (10.023407936096191 45.136375427246094)",Via Alessandro Manzoni, 1,
"POINT (10.022661209106445 45.13568878173828)",Vaso di Pandora,
"POINT (10.02370834350586 45.13483428955078)",PH5 profumeria,
"POINT (10.023605346679688 45.13489532470703)",Credito Padano Società Cooperativa - Cremona,
"POINT (10.022706031799316 45.135101318359375)",Via Guarneri del Gesù, 22,
"POINT (10.022749900817871 45.13511276245117)",Via Guarneri del Gesù, 22,
"POINT (10.022794723510742 45.135093688964844)",Via Guarneri del Gesù, 22,
"POINT (10.022344589233398 45.13486099243164)",Galleria XXV Aprile,
"POINT (10.021769523620605 45.1348762512207)",Corso Campi, 22,
"POINT (10.02341365814209 45.13359832763672)",Monumento Antonio Stradivari,
"POINT (10.023500442504883 45.13340377807617)",Codacons Cremona,
"POINT (10.023558616638184 45.13343048095703)",Via Giovanni Baldesio, 44,
"POINT (10.023305892944336 45.13365173339844)",Piazza Antonio Stradivari, 4,
"POINT (10.024764060974121 45.133201599121094)",Piazza Sant'Antonio Maria Zaccaria, 24,
"POINT (10.024983406066895 45.132999420166016)",Foresteria La Vista,
"POINT (10.0248384475708 45.13270568847656)",PARCHEGGIO FORESTERIA LA VISTA,
"POINT (10.01574993133545 45.14079284667969)",Via Volturno, 1,
"POINT (10.015922546386719 45.141109466552734)",Corso Garibaldi, 212,
"POINT (10.016361236572266 45.14122009277344)",Viale Trento e Trieste, 14,
"POINT (10.015896797180176 45.14084243774414)",Corso Garibaldi, 267,
"POINT (10.024582862854004 45.14006042480469)",Viale Trento e Trieste, 86,
"POINT (10.025416374206543 45.13857650756836)",Via Gioconda, 18,
"POINT (10.026652336120605 45.136531829833984)",Via dei Colonnetti, 3,
"POINT (10.026700019836426 45.136531829833984)",P.za Lodi, 6,
"POINT (10.026780128479004 45.136043548583984)",P.za Lodi, 12,
"POINT (10.031331062316895 45.13428497314453)",Corso Pietro Vacchelli, 20,
